quad,row,col,trap_energy,gmean_coeff,log_coeff_slope_per_K,n_points
0,142,2751,0.14455438,0.93956431,0.033817942,4
0,142,3047,0.28428736,0.95841944,-0.0030181397,9
0,143,1599,7.955151e-24,0.5581817,-0.011948283,8
0,143,1680,0.29566072,1.0332039,0.0088005762,4
0,144,1680,0.27881451,0.61039842,0.031342635,4
0,145,1565,0.2278091,0.94707451,-0.005968367,5
0,145,2348,1.8193144e-18,0.60457237,0.0091087546,10
0,146,1315,0.25977875,1.0151403,0.013810679,6
0,146,1328,0.26064068,0.93888366,0.035525909,6
0,146,394,0.24264329,0.71527788,0.023816068,6
0,147,1315,0.18307948,0.5717352,0.04033758,5
0,147,1328,0.20025345,0.57057927,0.037638087,4
0,149,2014,0.27029818,0.93391284,0.016094066,5
0,149,618,0.2450436,1.1510155,-0.0068607756,6
0,150,108,0.27081292,0.87158952,0.01192305,8
0,150,80,0.27058106,0.98701641,0.016665993,5
0,151,1144,0.27370493,1.0443582,-0.00066065703,8
0,152,1727,0.24873851,0.69151725,-0.022300442,7
0,152,1912,0.21458882,1.1195504,0.0054359568,5
0,153,2769,0.33885945,1.0773539,0.001667045,8
0,153,65,0.31097538,0.91219645,-0.020676916,6
0,154,2319,0.3055428,0.72753372,-0.0069984029,19
0,155,1574,0.27291303,1.0793761,0.0083916843,6
0,155,2811,0.26918321,1.0179583,-0.01043458,5
0,156,1494,0.23151156,0.79783141,0.051994514,4
0,156,1574,0.26895625,0.64404215,0.019633795,6
0,157,2809,0.25440032,1.0077903,0.0060314456,6
0,158,1858,0.26949141,0.43540189,-0.027650808,4
0,158,1925,0.27975586,1.0282624,-0.0055601421,8
0,158,3018,0.3351371,0.99557418,-0.031807128,4
0,158,645,0.2452875,0.83780681,0.00085336765,6
0,15,3060,0.31051894,0.7221945,-0.010666878,17
0,15,835,0.17540068,0.64739777,0.0028618008,4
0,160,1030,0.19741346,0.84498023,0.0021139324,4
0,160,1716,0.30416933,0.78357205,-0.0052146048,16
0,161,1315,0.29295182,0.97597474,-0.0080401904,7
0,161,1420,0.29077466,0.90138242,-0.0084570617,8
0,162,1491,0.25932924,1.2587446,0.0033269735,4
0,164,584,0.38503517,0.91753505,0.018836049,10
0,166,3067,0.26349319,0.98759855,-0.0077746997,6
0,167,186,0.28188894,0.92192136,-0.009735024,20
0,167,68,0.22540201,1.1827194,0.021524927,4
0,168,132,0.21150831,0.59538703,0.010929843,6
0,168,1649,0.31884886,1.1428461,-0.003118629,4
0,168,1980,0.319638,0.45082651,-0.010926035,20
0,168,68,0.14579213,0.7743227,0.030205837,5
0,16,3060,0.2896035,0.5711768,0.0066638157,7
0,171,1685,0.26410458,0.94738257,0.0014550967,6
0,171,373,0.31017649,0.88464076,-0.021763686,6
0,173,874,0.27123395,0.7845302,-0.01113811,6
0,174,1784,0.34916426,1.0762026,-0.0047995325,4
0,175,1609,0.31014309,1.1110668,0.0025623098,6
0,175,2291,0.31460991,0.57783117,-0.0018087656,7
0,175,751,0.22632022,0.84285511,0.042712924,5
0,176,1609,0.29624403,0.59785188,0.021436275,5
0,178,1458,0.14855683,0.94771278,0.032204811,5
0,178,770,0.17204362,0.98939318,0.074821976,5
0,179,22,0.35929908,1.0852024,0.00043132043,4
0,17,2369,0.29429098,0.53887084,-0.019899434,13
0,17,2724,0.30674743,0.836986,-0.014457939,6
0,17,739,0.30356715,0.81166866,0.0080640648,4
0,180,2768,0.25169259,0.79727486,0.044734756,5
0,181,1428,0.17638575,0.4500697,0.030689607,5
0,181,1518,0.21308073,0.79541633,0.0063195736,4
0,181,2485,0.29277722,0.70590249,-0.00091786987,13
0,182,1229,0.27620448,0.9005792,-0.010392849,6
0,182,1669,0.21767818,0.78350388,0.049498622,6
0,182,2607,0.34410955,1.0484774,0.00043045211,6
0,183,1669,0.23142929,0.51872021,0.032676038,5
0,183,2607,0.31878811,0.53740638,0.0071817261,4
0,184,1676,0.3224252,0.87719268,-0.02655908,5
0,184,1723,0.27293808,0.68214972,-0.0062988706,4
0,186,1651,0.31696704,1.0517061,-0.0084826174,6
0,186,3030,0.33240646,0.93482108,-0.029504528,4
0,186,690,0.23568544,1.0132613,0.020900883,6
0,187,2402,0.25499236,1.0222382,0.019445553,4
